# time(ps) MSD_C MSD_Si
1795.5 46322.978190339941648 53820.782400668431364
1796 46367.664683071976469 53885.359049621336453
1796.5 46336.082845722339698 53855.327768193805241
1797 46261.016178107158339 53783.360541359790659
1797.5 46318.588534231181256 53862.395672026919783
1798 46217.796737283795665 53767.420468790143786
1798.5 46210.199896003534377 53771.729307848647295
1799 46243.666309531654406 53800.58398170844157
1799.5 46301.11557628949231 53868.718156298724352
1800 46303.842195946403081 53878.222152320624446
1800.5 46316.964555893850047 53886.136848926929815
1801 46410.036867659226118 53993.501472684081818
1801.5 46364.550624419243832 53937.108366514607042
1802 46299.141741617924708 53893.271789978847664
1802.5 46359.814984156044375 53963.344203308057331
1803 46371.810434198079747 53977.205940922656737
1803.5 46309.640085051498318 53920.943461291935819
1804 46379.393451677598932 54005.712868363465532
1804.5 46385.777221464173635 54018.939371662490885
